Namespace(batch_size=100, dataset='ogbn-mag', dgl_sparse=False, dropout=0.7, eval_batch_size=32, fanout='4, 4', gpu='0', l2norm=0, layer_norm=False, low_mem=False, lr=0.01, n_bases=2, n_epochs=2, n_hidden=16, n_layers=2, node_feats=False, num_workers=1, sparse_lr=0.02, use_self_loop=False, validation=False)
Number of relations: 8
Number of class: 349
Number of train: 629571
Number of valid: 64879
Number of test: 41939
0:author
1:field_of_study
2:institution
3:paper
start training...
Using backend: pytorch
Train Accuracy: 0.0500 | Train Loss: 5.1205
Train Accuracy: 0.0900 | Train Loss: 4.6737
Train Accuracy: 0.0500 | Train Loss: 4.8476
Train Accuracy: 0.0400 | Train Loss: 5.1226
Train Accuracy: 0.0600 | Train Loss: 5.0324
Train Accuracy: 0.0900 | Train Loss: 4.8975
Train Accuracy: 0.0600 | Train Loss: 4.9746
Train Accuracy: 0.0700 | Train Loss: 4.9679
Train Accuracy: 0.0600 | Train Loss: 4.9970
Train Accuracy: 0.0500 | Train Loss: 5.0610
Train Accuracy: 0.0600 | Train Loss: 4.9696
Train Accuracy: 0.0400 | Train Loss: 5.2113
Train Accuracy: 0.0500 | Train Loss: 5.1662
Train Accuracy: 0.0900 | Train Loss: 4.9200
Train Accuracy: 0.0800 | Train Loss: 4.9303
